"","KSDistance","rInterannualVar","rIntSEMod","rInterannualVarSE","scn"
"1595",0.4287,0.575,7,0.14,"Low"
"1675",0.8973,0.69,1,0.14,"Low"
"1755",0.7048,0.69,2.5,0.14,"Low"
"1835",0.4813,0.69,4,0.14,"Low"
"1915",0.5937,0.69,5.5,0.14,"Low"
"1995",0.4322,0.69,7,0.14,"Low"
"2075",0.3259,0.23,1,0.18,"Low"
"2155",0.5354,0.23,2.5,0.18,"Low"
"2235",0.5454,0.23,4,0.18,"Low"
"2315",0.8258,0.23,5.5,0.18,"Low"
"2395",0.2655,0.23,7,0.18,"Low"
"2475",0.6615,0.345,1,0.18,"Low"
"2555",0.2718,0.345,2.5,0.18,"Low"
"2635",0.4016,0.345,4,0.18,"Low"
"2715",0.3499,0.345,5.5,0.18,"Low"
"2795",0.5879,0.345,7,0.18,"Low"
"2875",0.724,0.46,1,0.18,"Low"
"2955",0.2546,0.46,2.5,0.18,"Low"
"3035",0.308,0.46,4,0.18,"Low"
"3115",0.3642,0.46,5.5,0.18,"Low"
"3195",0.534,0.46,7,0.18,"Low"
"3275",0.2433,0.575,1,0.18,"Low"
"3355",0.3722,0.575,2.5,0.18,"Low"
"3435",0.4122,0.575,4,0.18,"Low"
"3515",0.4323,0.575,5.5,0.18,"Low"
"3595",0.3121,0.575,7,0.18,"Low"
"3675",0.2497,0.69,1,0.18,"Low"
"3755",0.2225,0.69,2.5,0.18,"Low"
"3835",0.5684,0.69,4,0.18,"Low"
"3915",0.3553,0.69,5.5,0.18,"Low"
"3995",0.3229,0.69,7,0.18,"Low"
"4075",0.4444,0.23,1,0.22,"Low"
"4155",0.5038,0.23,2.5,0.22,"Low"
"4235",0.5659,0.23,4,0.22,"Low"
"4315",0.3134,0.23,5.5,0.22,"Low"
"4395",0.5676,0.23,7,0.22,"Low"
"4475",0.232,0.345,1,0.22,"Low"
"4555",0.8715,0.345,2.5,0.22,"Low"
"4635",0.6898,0.345,4,0.22,"Low"
"4715",0.457,0.345,5.5,0.22,"Low"
"4795",0.7941,0.345,7,0.22,"Low"
"4875",0.5737,0.46,1,0.22,"Low"
"4955",0.324,0.46,2.5,0.22,"Low"
"5035",0.8424,0.46,4,0.22,"Low"
"5115",0.3458,0.46,5.5,0.22,"Low"
"5195",0.4298,0.46,7,0.22,"Low"
"5275",0.1179,0.575,1,0.22,"Low"
"5355",0.5324,0.575,2.5,0.22,"Low"
"5435",0.5799,0.575,4,0.22,"Low"
"5515",0.7578,0.575,5.5,0.22,"Low"
"5595",0.2535,0.575,7,0.22,"Low"
"5675",0.4244,0.69,1,0.22,"Low"
"5755",0.3418,0.69,2.5,0.22,"Low"
"5835",0.3607,0.69,4,0.22,"Low"
"5915",0.5849,0.69,5.5,0.22,"Low"
"5995",0.2884,0.69,7,0.22,"Low"
"6075",0.345,0.23,1,0.26,"Low"
"6155",0.4616,0.23,2.5,0.26,"Low"
"6235",0.2714,0.23,4,0.26,"Low"
"6315",0.478,0.23,5.5,0.26,"Low"
"6395",0.2194,0.23,7,0.26,"Low"
"6475",0.1206,0.345,1,0.26,"Low"
"6555",0.4191,0.345,2.5,0.26,"Low"
"6635",0.2142,0.345,4,0.26,"Low"
"6715",0.5629,0.345,5.5,0.26,"Low"
"6795",0.5247,0.345,7,0.26,"Low"
"6875",0.0358,0.46,1,0.26,"Low"
"6955",0.311,0.46,2.5,0.26,"Low"
"7035",0.5286,0.46,4,0.26,"Low"
"7115",0.8485,0.46,5.5,0.26,"Low"
"7195",0.4954,0.46,7,0.26,"Low"
"7275",0.2735,0.575,1,0.26,"Low"
"7355",0.3407,0.575,2.5,0.26,"Low"
"7435",0.4474,0.575,4,0.26,"Low"
"7515",0.4143,0.575,5.5,0.26,"Low"
"7595",0.6751,0.575,7,0.26,"Low"
"7675",0.5144,0.69,1,0.26,"Low"
"7755",0.5065,0.69,2.5,0.26,"Low"
"7835",0.3991,0.69,4,0.26,"Low"
"7915",0.3992,0.69,5.5,0.26,"Low"
"7995",0.6058,0.69,7,0.26,"Low"
"752",0.4931,0.23,1,0.14,"High"
"1552",0.2898,0.23,2.5,0.14,"High"
"2352",0.3514,0.23,4,0.14,"High"
"3152",0.6088,0.23,5.5,0.14,"High"
"3952",0.7304,0.23,7,0.14,"High"
"4752",0.5348,0.345,1,0.14,"High"
"5552",0.668,0.345,2.5,0.14,"High"
"6352",0.65,0.345,4,0.14,"High"
"7152",0.6637,0.345,5.5,0.14,"High"
"7952",0.6802,0.345,7,0.14,"High"
"8752",0.6334,0.46,1,0.14,"High"
"9552",0.4434,0.46,2.5,0.14,"High"
"10351",0.3825,0.46,4,0.14,"High"
"11151",0.6281,0.46,5.5,0.14,"High"
"11951",0.2151,0.46,7,0.14,"High"
"12751",0.4699,0.575,1,0.14,"High"
"13551",0.3711,0.575,2.5,0.14,"High"
"14351",0.5149,0.575,4,0.14,"High"
"15151",0.6159,0.575,5.5,0.14,"High"
"15951",0.6025,0.575,7,0.14,"High"
"16751",0.289,0.69,1,0.14,"High"
"17551",0.8453,0.69,2.5,0.14,"High"
"18351",0.5714,0.69,4,0.14,"High"
"19151",0.5812,0.69,5.5,0.14,"High"
"19951",0.2722,0.69,7,0.14,"High"
"20751",0.3059,0.23,1,0.18,"High"
"21551",0.4438,0.23,2.5,0.18,"High"
"22351",0.5525,0.23,4,0.18,"High"
"23151",0.2333,0.23,5.5,0.18,"High"
"23951",0.4032,0.23,7,0.18,"High"
"24751",0.524,0.345,1,0.18,"High"
"25551",0.508,0.345,2.5,0.18,"High"
"26351",0.5818,0.345,4,0.18,"High"
"27151",0.2708,0.345,5.5,0.18,"High"
"27951",0.4142,0.345,7,0.18,"High"
"28751",0.4518,0.46,1,0.18,"High"
"29551",0.6214,0.46,2.5,0.18,"High"
"30351",0.2746,0.46,4,0.18,"High"
"31151",0.3004,0.46,5.5,0.18,"High"
"31951",0.392,0.46,7,0.18,"High"
"32751",0.5228,0.575,1,0.18,"High"
"33551",0.2356,0.575,2.5,0.18,"High"
"34351",0.3938,0.575,4,0.18,"High"
"35151",0.8784,0.575,5.5,0.18,"High"
"35951",0.4298,0.575,7,0.18,"High"
"36751",0.2956,0.69,1,0.18,"High"
"37551",0.8169,0.69,2.5,0.18,"High"
"38351",0.671,0.69,4,0.18,"High"
"39151",0.3138,0.69,5.5,0.18,"High"
"39951",0.368,0.69,7,0.18,"High"
"40751",0.5253,0.23,1,0.22,"High"
"41551",0.3953,0.23,2.5,0.22,"High"
"42351",0.805,0.23,4,0.22,"High"
"43151",0.3904,0.23,5.5,0.22,"High"
"43951",0.2965,0.23,7,0.22,"High"
"44751",0.8636,0.345,1,0.22,"High"
"45551",0.2721,0.345,2.5,0.22,"High"
"46351",0.5433,0.345,4,0.22,"High"
"47151",0.2553,0.345,5.5,0.22,"High"
"47951",0.7867,0.345,7,0.22,"High"
"48751",0.4912,0.46,1,0.22,"High"
"49551",0.757,0.46,2.5,0.22,"High"
"50351",0.5637,0.46,4,0.22,"High"
"51151",0.2188,0.46,5.5,0.22,"High"
"51951",0.6207,0.46,7,0.22,"High"
"52751",0.5503,0.575,1,0.22,"High"
"53551",0.2734,0.575,2.5,0.22,"High"
"54351",0.541,0.575,4,0.22,"High"
"55151",0.6519,0.575,5.5,0.22,"High"
"55951",0.2764,0.575,7,0.22,"High"
"56751",0.4654,0.69,1,0.22,"High"
"57551",0.3795,0.69,2.5,0.22,"High"
"58351",0.694,0.69,4,0.22,"High"
"59151",0.3944,0.69,5.5,0.22,"High"
"59951",0.8752,0.69,7,0.22,"High"
"60751",0.2275,0.23,1,0.26,"High"
"61551",0.1974,0.23,2.5,0.26,"High"
"62351",0.3964,0.23,4,0.26,"High"
"63151",0.281,0.23,5.5,0.26,"High"
"63951",0.3055,0.23,7,0.26,"High"
"64751",0.3129,0.345,1,0.26,"High"
"65551",0.7449,0.345,2.5,0.26,"High"
"66351",0.5154,0.345,4,0.26,"High"
"67151",0.245,0.345,5.5,0.26,"High"
"67951",0.7201,0.345,7,0.26,"High"
"68751",0.3785,0.46,1,0.26,"High"
"69551",0.4425,0.46,2.5,0.26,"High"
"70351",0.8091,0.46,4,0.26,"High"
"71151",0.638,0.46,5.5,0.26,"High"
"71951",0.3928,0.46,7,0.26,"High"
"72751",0.6059,0.575,1,0.26,"High"
"73551",0.3333,0.575,2.5,0.26,"High"
"74351",0.4871,0.575,4,0.26,"High"
"75151",0.5257,0.575,5.5,0.26,"High"
"75951",0.3924,0.575,7,0.26,"High"
"76751",0.2785,0.69,1,0.26,"High"
"77551",0.5487,0.69,2.5,0.26,"High"
"78351",0.4999,0.69,4,0.26,"High"
"79151",0.8034,0.69,5.5,0.26,"High"
"79951",0.2396,0.69,7,0.26,"High"
