"","KSDistance","sSigmaMean","sIntSEMod","sSigmaSD","scn"
"1192",0.2086,0.069568,9,0.09,"All"
"1202",0.1364,0.08696,1,0.09,"All"
"1212",0.1441,0.08696,3,0.09,"All"
"1222",0.1688,0.08696,5,0.09,"All"
"1232",0.19,0.08696,7,0.09,"All"
"1242",0.2083,0.08696,9,0.09,"All"
"721",0.9861,0.017392,1,0.01,"Low"
"1521",0.4856,0.017392,3,0.01,"Low"
"2321",0.1109,0.017392,5,0.01,"Low"
"3121",0.5889,0.017392,7,0.01,"Low"
"3921",0.8121,0.017392,9,0.01,"Low"
"4721",0.9771,0.034784,1,0.01,"Low"
"5521",0.8176,0.034784,3,0.01,"Low"
"6321",0.2734,0.034784,5,0.01,"Low"
"7121",0.2167,0.034784,7,0.01,"Low"
"7921",0.3305,0.034784,9,0.01,"Low"
"8721",0.9018,0.052176,1,0.01,"Low"
"9521",0.5643,0.052176,3,0.01,"Low"
"10321",0.273,0.052176,5,0.01,"Low"
"11121",0.7473,0.052176,7,0.01,"Low"
"11921",0.6463,0.052176,9,0.01,"Low"
"1272",0.5822,0.069568,1,0.01,"Low"
"1352",0.7846,0.069568,3,0.01,"Low"
"1432",0.5929,0.069568,5,0.01,"Low"
"1512",0.2713,0.069568,7,0.01,"Low"
"1592",0.5412,0.069568,9,0.01,"Low"
"1672",0.491,0.08696,1,0.01,"Low"
"1752",0.8326,0.08696,3,0.01,"Low"
"1832",0.2816,0.08696,5,0.01,"Low"
"1912",0.2825,0.08696,7,0.01,"Low"
"1992",0.5666,0.08696,9,0.01,"Low"
"2072",0.4881,0.017392,1,0.03,"Low"
"2152",0.6971,0.017392,3,0.03,"Low"
"2232",0.4007,0.017392,5,0.03,"Low"
"2312",0.1867,0.017392,7,0.03,"Low"
"2392",0.5817,0.017392,9,0.03,"Low"
"2472",0.9062,0.034784,1,0.03,"Low"
"2552",0.2814,0.034784,3,0.03,"Low"
"2632",0.8771,0.034784,5,0.03,"Low"
"2712",0.3084,0.034784,7,0.03,"Low"
"2792",0.2004,0.034784,9,0.03,"Low"
"2872",0.6629,0.052176,1,0.03,"Low"
"2952",0.843,0.052176,3,0.03,"Low"
"3032",0.1672,0.052176,5,0.03,"Low"
"3112",0.5384,0.052176,7,0.03,"Low"
"3192",0.1707,0.052176,9,0.03,"Low"
"3272",0.5098,0.069568,1,0.03,"Low"
"3352",0.2781,0.069568,3,0.03,"Low"
"3432",0.566,0.069568,5,0.03,"Low"
"3512",0.6235,0.069568,7,0.03,"Low"
"3592",0.6794,0.069568,9,0.03,"Low"
"3672",0.7344,0.08696,1,0.03,"Low"
"3752",0.5703,0.08696,3,0.03,"Low"
"3832",0.5931,0.08696,5,0.03,"Low"
"3912",0.8107,0.08696,7,0.03,"Low"
"3992",0.4988,0.08696,9,0.03,"Low"
"4072",0.7226,0.017392,1,0.05,"Low"
"4152",0.6208,0.017392,3,0.05,"Low"
"4232",0.2977,0.017392,5,0.05,"Low"
"4312",0.6106,0.017392,7,0.05,"Low"
"4392",0.4676,0.017392,9,0.05,"Low"
"4472",0.9821,0.034784,1,0.05,"Low"
"4552",0.453,0.034784,3,0.05,"Low"
"4632",0.4941,0.034784,5,0.05,"Low"
"4712",0.2921,0.034784,7,0.05,"Low"
"4792",0.7178,0.034784,9,0.05,"Low"
"4872",0.3699,0.052176,1,0.05,"Low"
"4952",0.9918,0.052176,3,0.05,"Low"
"5032",0.5718,0.052176,5,0.05,"Low"
"5112",0.5717,0.052176,7,0.05,"Low"
"5192",0.6426,0.052176,9,0.05,"Low"
"5272",0.5698,0.069568,1,0.05,"Low"
"5352",0.8556,0.069568,3,0.05,"Low"
"5432",0.3722,0.069568,5,0.05,"Low"
"5512",0.6016,0.069568,7,0.05,"Low"
